suite_id,baseline,index,seed,target_concept,expected_effect,video_path,video_exists,video_bytes,manual_review_status,notes
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,0,200,ice cube,bubbles and splashes rise,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/000_a-realistic-close-up-video-of-a-clear-ice-cube-dropping-into-a-glass-of_seed200.mp4,True,347882,pending,
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,1,201,bottle,cup fills with water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/001_a-realistic-close-up-video-of-a-clear-plastic-bottle-tilted-above-a-tran_seed201.mp4,True,92996,pending,
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,2,202,pitcher,glass fills with water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/002_a-realistic-close-up-video-of-a-pitcher-tilted-above-a-clear-glass-water_seed202.mp4,True,69547,pending,
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,3,203,pipette,ink clouds spread through water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/003_a-realistic-close-up-video-of-a-glass-pipette-releasing-black-ink-into-c_seed203.mp4,True,213624,pending,
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,4,204,stone,circular ripples spread outward,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/004_a-realistic-close-up-video-of-a-small-stone-falling-into-calm-water-and_seed204.mp4,True,213842,pending,
baseline_suite_round1_seed200_real_gpu_fp32,negative_prompt,5,205,sugar cube,pale swirls spread through coffee,outputs/baseline_suite_round1_seed200_real_gpu_fp32/negative_prompt/videos/005_a-realistic-close-up-video-of-a-sugar-cube-dropped-into-dark-coffee-and_seed205.mp4,True,11443,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,0,200,ice cube,bubbles and splashes rise,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/000_a-realistic-close-up-video-of-a-clear-ice-cube-dropping-into-a-glass-of_seed200.mp4,True,624722,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,1,201,bottle,cup fills with water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/001_a-realistic-close-up-video-of-a-clear-plastic-bottle-tilted-above-a-tran_seed201.mp4,True,167093,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,2,202,pitcher,glass fills with water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/002_a-realistic-close-up-video-of-a-pitcher-tilted-above-a-clear-glass-water_seed202.mp4,True,256536,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,3,203,pipette,ink clouds spread through water,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/003_a-realistic-close-up-video-of-a-glass-pipette-releasing-black-ink-into-c_seed203.mp4,True,127359,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,4,204,stone,circular ripples spread outward,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/004_a-realistic-close-up-video-of-a-small-stone-falling-into-calm-water-and_seed204.mp4,True,316861,pending,
baseline_suite_round1_seed200_real_gpu_fp32,safree_cogvideox,5,205,sugar cube,pale swirls spread through coffee,outputs/baseline_suite_round1_seed200_real_gpu_fp32/safree_cogvideox/videos/005_a-realistic-close-up-video-of-a-sugar-cube-dropped-into-dark-coffee-and_seed205.mp4,True,81110,pending,
