baseline,template,annotated_rows,candidate_ambiguous_cause,candidate_artifact_cause,candidate_residual_cause,clean_source_valid,effect_removed_or_missing,erasure_failed_target_visible,strict_causal_footprint,video_too_degraded_to_judge,usable_yes,usable_candidate,usable_no
negative_prompt,bottle_cup_fills,2,0,0,0,0,0,2,0,0,0,0,2
negative_prompt,car_barrier_deforms,3,0,0,1,0,0,2,0,0,0,1,2
negative_prompt,ice_cube_bubbles_splashes,4,0,0,2,0,0,0,2,0,2,2,0
negative_prompt,pitcher_glass_fills,2,0,0,0,0,0,1,1,0,1,0,1
negative_prompt,stone_ripples,2,1,0,0,0,0,1,0,0,0,1,1
safree_cogvideox,bottle_cup_fills,2,0,0,0,0,0,2,0,0,0,0,2
safree_cogvideox,ice_cube_bubbles_splashes,4,0,0,3,0,0,1,0,0,0,3,1
safree_cogvideox,pitcher_glass_fills,2,0,0,0,0,0,2,0,0,0,0,2
safree_cogvideox,stone_ripples,2,0,0,2,0,0,0,0,0,0,2,0
t2vunlearning,bottle_cup_fills,2,0,0,0,0,1,0,0,1,0,0,2
t2vunlearning,ice_cube_bubbles_splashes,4,0,0,1,0,0,3,0,0,0,1,3
t2vunlearning,pitcher_glass_fills,2,0,0,0,0,1,1,0,0,0,0,2
t2vunlearning,stone_ripples,2,0,0,2,0,0,0,0,0,0,2,0
videoeraser,bottle_cup_fills,2,0,0,0,0,0,1,0,1,0,0,2
videoeraser,car_barrier_deforms,3,0,0,0,0,3,0,0,0,0,0,3
videoeraser,ice_cube_bubbles_splashes,4,0,0,0,0,0,4,0,0,0,0,4
videoeraser,pitcher_glass_fills,2,0,0,0,0,0,0,1,1,1,0,1
videoeraser,stone_ripples,2,0,1,1,0,0,0,0,0,0,2,0
